no;title;rating_avg;rating_total;year
572;Barva ráje;84.3;830;1999
573;Pátá pečeť;85.8;364;1976
574;Korunní svědek;87.0;243;1959
575;Na nože;83.1;30221;2019
576;Pokání;83.2;29034;2007
577;Muži, kteří nenávidí ženy;83.1;24907;2009
578;Válka Roseových;83.2;22038;1989
579;Magnolia;83.1;19465;1999
580;Nejvyšší nabídka;83.1;18332;2013
581;Přichází Satan!;83.2;10057;1976
582;Hana a její sestry;83.3;4945;1986
583;Na východ od ráje;83.4;3859;1955
584;Tři zločinci ve skryté pevnosti;83.6;1762;1958
585;Mefisto;83.6;1738;1981
586;Červené střevíčky;84.1;893;1948
587;Zapomenutí;84.4;772;1950
588;Bouřlivá dvacátá léta;84.8;569;1939
589;La traviata;88.5;174;1982
590;Harry Potter a Relikvie smrti - část 2;83.1;73430;2011
591;Shrek 2;83.0;66926;2004
592;Marťan;83.0;52620;2015
593;Saw: Hra o přežití;83.0;50090;2004
594;E.T. - Mimozemšťan;83.0;40188;1982
595;Fantomas se zlobí;83.0;23888;1965
596;Magická hlubina;83.1;10498;1988
597;(Ne)obyčejný kluk;83.1;10108;2017
598;Rytíři spravedlnosti;83.1;9721;2020
599;Vampire Hunter D;83.1;6178;2000
600;Kočár do Vídně;83.2;4990;1966
601;Hombre;83.2;4722;1967
602;Persona;83.3;3761;1966
603;V žáru noci;83.2;3373;1967
604;Zahraj to znovu, Same;83.3;2972;1972
605;Kabaret;83.3;2641;1972
606;Ďáblova past;83.4;2362;1961
607;Návrat domů;83.5;1948;1978
608;Co se vlastně stalo s Baby Jane?;83.5;1742;1962
609;Zootropolis: Město zvířat 2;83.5;1731;2025
610;Podzimní sonáta;83.5;1605;1978
611;Ruróni Kenšin: Meidži kenkaku rómantan – Cuioku hen;84.1;810;1999
612;Bílé peklo;85.9;322;1929
613;Gone, Baby, Gone;83.0;25093;2007
614;Gattaca;82.9;22070;1997
615;Naprostí cizinci;83.0;13950;2016
616;Lásky jedné plavovlásky;83.0;13726;1965
617;Adamova jablka;83.0;12257;2005
618;Kluci nepláčou;82.9;11503;1999
619;Příběh Alvina Straighta;83.0;8817;1999
620;Země nikoho;83.0;5994;2001
621;Krakatit;83.1;5795;1948
622;Nebe nad Berlínem;83.1;5684;1987
623;Soumrak dne;83.1;5244;1993
624;Amarcord;83.1;4172;1973
625;Underground;83.1;3936;1995
626;Cyrano z Bergeracu;83.2;2552;1990
627;Evropa, Evropa;83.4;2161;1990
628;Chi bi xia: Jue zhan tian xia;83.3;2156;2009
629;Pohraniční pásmo;83.4;1980;2000
630;Dům k pověšení;83.4;1870;1988
631;Waterloo;83.4;1646;1970
632;Soumrak;83.5;1509;2002
633;Hilary a Jackie;83.6;1326;1998
634;Ubožáci;83.7;1268;1982
635;Babka;84.0;861;2003
636;Satanské tango;84.0;805;1994
637;Keurosing;84.3;650;2008
638;Avatar;82.8;100962;2009
639;Indiana Jones a Chrám zkázy;82.8;50555;1984
640;Auta;82.8;49363;2006
641;Krotitelé duchů;82.8;37759;1984
642;Zápisník jedné lásky;82.8;31464;2004
